pointid,grid_code,Slope,Soil_depth,Curvature,Row,Col
33,6.899909019470215,2.9297398300835327,2.8797140657025646,-0.0013463048519933637,5,58
34,5.314032554626465,1.4929169602741361,2.884376588886405,0.00038719657455571575,5,59
35,5.537568092346191,2.0009844097429372,2.8837193878684597,0.0007851390153963533,5,60
36,5.376373767852783,0.7928614450912984,2.88419330389642,0.00028618407381904504,5,61
37,5.261247158050537,2.926261573982918,2.8845317794959886,-0.00025080356363689125,5,62
38,4.225436210632324,3.047293513140377,2.8875770939725416,0.0011372192122128377,5,63
39,3.299879789352417,0.9575416826853883,2.8902982569179763,0.0012906177771470418,5,64
40,5.215734958648682,1.378397625257077,2.884665586693184,-0.0009373121578531384,5,65
41,4.720642566680908,0.8601501427381227,2.8861211728039975,-0.0005269437484499304,5,66
42,4.471034526824951,2.4232267446173483,2.8868550277406846,0.0006957568953962311,5,67
43,3.9435322284698486,1.962994610605354,2.8884058999240687,0.0009684395994291697,5,68
44,4.333803653717041,2.3289499806990017,2.8872584905207868,0.0011529557629159602,5,69
45,4.669410705566406,3.201267838497491,2.8862717959738933,0.001860793645873751,5,70
46,7.5781569480896,3.993042651297036,2.8777199969578144,0.0001762529792463315,5,71
47,8.749592781066895,1.1444139846638113,2.8742759413515184,-0.0007748083210520417,5,72
48,8.465765953063965,1.263737261179831,2.875110400526048,-0.0006567310045105614,5,73
49,7.539576053619385,1.438755644334279,2.8778334259158123,-0.00033633964102106387,5,74
50,7.088108062744141,0.9358448344577215,2.8791607550116667,-0.00024746352030892535,5,75
51,6.7267374992370605,0.2897420603316702,2.880223195036259,-0.0005254820934098361,5,76
52,7.385027885437012,0.5759630830160025,2.8782878020498583,-0.0018512645809353693,5,77
53,6.130980968475342,3.09315230629925,2.8819747366589383,-0.0008526533314481198,5,78
54,4.410330772399902,1.3501223972046676,2.887033498553908,0.0010096511845829501,5,79
55,4.8420186042785645,0.4344925767116645,2.8857643237039525,0.0004836125191095001,5,80
56,4.810186862945557,0.30612314730324336,2.8858579099543555,0.0001123147354364454,5,81
57,4.636630535125732,0.8723776376822842,2.8863681706336086,0.00031127265080438366,5,82
58,5.212459087371826,2.1790413269000135,2.884675217850537,0.0001396065204833343,5,83
59,6.382050514221191,2.407935554375765,2.8812365848521946,-0.0014063322928813253,5,84
60,7.552720546722412,2.539627828618156,2.8777947807216933,-0.002609964828061437,5,85
61,3.473749876022339,3.2286162010336126,2.8897870737785287,0.0020325005738299064,6,54
62,5.517478942871094,3.4942803592362432,2.8837784505554014,0.0009342693059502854,6,55
63,7.068804740905762,0.9638051143634137,2.879217507342376,-0.002048362164872238,6,56
64,6.514427661895752,2.8448515380824544,2.8808473921668085,-0.0011544449105387797,6,57
65,5.3645830154418945,2.3360517286343194,2.8842279690533155,0.0012495992510186205,6,58
66,5.781848907470703,2.566136646931983,2.883001195128272,0.00044224106967839197,6,59
67,7.852260112762451,3.1625496349755653,2.8769141256378328,-0.0024561532634400723,6,60
68,6.970862865447998,4.31318873495065,2.879505459320423,-0.0015708777763936371,6,61
69,4.323751449584961,3.4443090905893983,2.8872880442949005,0.0019983981632713315,6,62
70,3.4041988849639893,0.9444481018759511,2.8899915557261817,0.003052581969118341,6,63
71,3.4182841777801514,1.7758171296720155,2.8899501445533935,0.0023337895477785983,6,64
72,4.667747974395752,1.2898445125312066,2.8862766844521595,0.002496069574591436,6,65
73,4.744063854217529,1.840662861493675,2.8860523135337104,0.0022460244668231575,6,66
74,6.301352500915527,2.521348955267049,2.881473839371237,0.00028867137190208877,6,67
75,5.495821952819824,2.6867251205005886,2.883842122739487,-0.0003380444526817052,6,68
